

Software Version	3.10.06



Experiment File Path:	C:\Users\yeung\OneDrive\Documents\aqib\platereader\mgz1_dcasrx_antibiotics.xpt
Protocol File Path:	C:\Users\yeung\OneDrive\Documents\aqib\platereader\mepM_overexpress_protocol.prt



Plate Number	Plate 1
Date	2/25/2023
Time	3:15:36 PM
Reader Type:	Synergy H1
Reader Serial Number:	1811261C
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 30:00:00 (HH:MM:SS), Interval 0:05:00, 361 Reads
    Shake	Double Orbital: Continuous
	Frequency: 807 cpm (1 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
    Read	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 579,  Emission: 616
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
End Kinetic	

Read 1:600

Time	T° Read 1:600	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:53:18	37.0	0.041	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.086	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.036	0.037	0.037	0.093	0.089	0.096	0.089	0.082	0.092	0.037	0.037	0.036	0.037	0.037	0.036	0.093	0.088	0.095	0.091	0.085	0.089	0.037	0.037	0.037	0.037	0.037	0.038	0.094	0.090	0.088	0.089	0.086	0.080	0.036	0.038	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.038	0.038	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
0:58:18	37.0	0.041	0.036	0.036	0.036	0.037	0.037	0.037	0.037	0.087	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.036	0.037	0.037	0.100	0.094	0.103	0.095	0.084	0.099	0.037	0.037	0.036	0.037	0.037	0.036	0.100	0.092	0.102	0.096	0.091	0.096	0.037	0.037	0.037	0.037	0.037	0.037	0.100	0.095	0.094	0.095	0.091	0.085	0.036	0.037	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.036	0.038	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
1:03:18	37.0	0.041	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.087	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.107	0.098	0.112	0.102	0.087	0.108	0.037	0.037	0.036	0.037	0.037	0.036	0.107	0.096	0.111	0.104	0.096	0.103	0.037	0.037	0.037	0.038	0.037	0.038	0.108	0.100	0.101	0.102	0.098	0.092	0.036	0.038	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.037	0.038	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
1:08:18	37.0	0.041	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.087	0.037	0.036	0.037	0.037	0.036	0.037	0.036	0.036	0.037	0.037	0.036	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.116	0.102	0.122	0.110	0.088	0.116	0.037	0.037	0.036	0.037	0.037	0.036	0.116	0.100	0.121	0.112	0.099	0.111	0.037	0.037	0.037	0.037	0.037	0.037	0.116	0.104	0.108	0.110	0.102	0.098	0.036	0.038	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
1:13:18	37.0	0.041	0.036	0.036	0.036	0.037	0.037	0.037	0.037	0.087	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.036	0.037	0.037	0.036	0.037	0.038	0.037	0.036	0.036	0.037	0.037	0.126	0.106	0.132	0.118	0.089	0.126	0.037	0.037	0.036	0.037	0.037	0.036	0.126	0.103	0.131	0.121	0.104	0.122	0.037	0.037	0.037	0.037	0.037	0.038	0.127	0.108	0.117	0.120	0.104	0.105	0.036	0.037	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
1:18:18	37.0	0.041	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.087	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.037	0.038	0.037	0.037	0.036	0.037	0.037	0.138	0.110	0.146	0.128	0.090	0.138	0.037	0.037	0.036	0.037	0.037	0.036	0.138	0.106	0.145	0.132	0.108	0.132	0.037	0.037	0.037	0.037	0.037	0.038	0.138	0.112	0.126	0.130	0.105	0.114	0.037	0.038	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
1:23:18	37.0	0.041	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.088	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.037	0.038	0.037	0.036	0.036	0.037	0.037	0.151	0.112	0.161	0.140	0.090	0.150	0.037	0.037	0.036	0.037	0.037	0.036	0.151	0.109	0.161	0.144	0.112	0.146	0.037	0.037	0.037	0.037	0.037	0.037	0.150	0.117	0.138	0.141	0.107	0.124	0.036	0.038	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
1:28:18	37.0	0.041	0.036	0.036	0.036	0.037	0.037	0.037	0.037	0.088	0.037	0.036	0.037	0.037	0.036	0.037	0.036	0.037	0.037	0.037	0.036	0.037	0.038	0.037	0.036	0.036	0.037	0.037	0.166	0.115	0.177	0.154	0.091	0.167	0.036	0.037	0.036	0.037	0.037	0.036	0.166	0.111	0.176	0.158	0.115	0.159	0.037	0.037	0.037	0.037	0.037	0.037	0.165	0.119	0.152	0.156	0.109	0.135	0.036	0.037	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
1:33:18	36.9	0.041	0.036	0.036	0.036	0.037	0.037	0.037	0.037	0.087	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.037	0.038	0.037	0.036	0.036	0.037	0.037	0.183	0.119	0.201	0.170	0.092	0.185	0.037	0.037	0.036	0.037	0.037	0.036	0.183	0.115	0.197	0.174	0.117	0.175	0.037	0.037	0.037	0.037	0.037	0.038	0.183	0.122	0.167	0.172	0.111	0.149	0.036	0.038	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
1:38:18	37.0	0.041	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.088	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.038	0.037	0.037	0.037	0.036	0.037	0.037	0.198	0.123	0.216	0.188	0.092	0.206	0.037	0.037	0.036	0.037	0.037	0.036	0.198	0.117	0.209	0.193	0.119	0.190	0.037	0.037	0.037	0.038	0.037	0.037	0.199	0.126	0.179	0.190	0.113	0.162	0.036	0.037	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
1:43:18	37.0	0.041	0.036	0.036	0.036	0.037	0.037	0.037	0.037	0.088	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.038	0.038	0.037	0.036	0.036	0.037	0.037	0.209	0.125	0.183	0.203	0.093	0.216	0.037	0.037	0.036	0.037	0.037	0.036	0.209	0.120	0.203	0.208	0.123	0.201	0.037	0.037	0.037	0.037	0.037	0.038	0.209	0.129	0.181	0.205	0.115	0.173	0.036	0.038	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
1:48:18	37.0	0.041	0.035	0.036	0.036	0.037	0.037	0.037	0.037	0.088	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.037	0.038	0.037	0.036	0.036	0.037	0.037	0.225	0.124	0.146	0.216	0.094	0.215	0.037	0.037	0.036	0.037	0.037	0.036	0.224	0.122	0.176	0.221	0.125	0.198	0.037	0.037	0.037	0.037	0.037	0.038	0.223	0.129	0.163	0.218	0.118	0.170	0.036	0.037	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
1:53:18	37.0	0.041	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.088	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.036	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.036	0.037	0.037	0.244	0.119	0.138	0.233	0.095	0.183	0.037	0.037	0.036	0.037	0.037	0.036	0.244	0.120	0.154	0.239	0.123	0.170	0.037	0.037	0.037	0.037	0.037	0.037	0.242	0.123	0.135	0.234	0.119	0.142	0.036	0.037	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.036	0.038	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
1:58:18	37.0	0.041	0.036	0.036	0.036	0.037	0.037	0.037	0.037	0.088	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.038	0.036	0.037	0.037	0.037	0.036	0.036	0.037	0.037	0.267	0.116	0.161	0.254	0.096	0.148	0.037	0.037	0.036	0.037	0.037	0.036	0.266	0.117	0.151	0.261	0.119	0.170	0.037	0.037	0.037	0.037	0.037	0.038	0.264	0.121	0.131	0.255	0.116	0.117	0.036	0.038	0.037	0.036	0.038	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
2:03:18	37.0	0.041	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.088	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.293	0.114	0.128	0.278	0.096	0.158	0.037	0.037	0.036	0.037	0.037	0.036	0.289	0.113	0.131	0.285	0.116	0.151	0.037	0.037	0.037	0.037	0.037	0.037	0.289	0.119	0.126	0.280	0.112	0.115	0.036	0.038	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
2:08:18	37.0	0.041	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.087	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.038	0.036	0.038	0.038	0.037	0.036	0.036	0.037	0.037	0.319	0.113	0.123	0.304	0.097	0.161	0.037	0.038	0.036	0.037	0.037	0.036	0.314	0.113	0.136	0.311	0.114	0.153	0.037	0.037	0.037	0.038	0.037	0.038	0.314	0.118	0.124	0.305	0.110	0.115	0.036	0.037	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.038	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
2:13:18	37.0	0.041	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.087	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.038	0.038	0.037	0.037	0.036	0.037	0.037	0.341	0.113	0.113	0.329	0.095	0.147	0.037	0.037	0.036	0.037	0.037	0.036	0.335	0.112	0.127	0.337	0.113	0.150	0.037	0.037	0.037	0.037	0.037	0.037	0.339	0.118	0.115	0.332	0.109	0.112	0.036	0.038	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
2:18:18	37.0	0.041	0.036	0.037	0.036	0.037	0.037	0.037	0.037	0.087	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.038	0.038	0.037	0.036	0.036	0.037	0.037	0.360	0.112	0.105	0.348	0.094	0.145	0.037	0.037	0.036	0.037	0.037	0.036	0.352	0.111	0.116	0.358	0.113	0.149	0.037	0.037	0.037	0.038	0.037	0.038	0.356	0.118	0.105	0.355	0.109	0.105	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
2:23:18	37.0	0.041	0.036	0.036	0.036	0.037	0.037	0.037	0.037	0.087	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.037	0.038	0.037	0.036	0.036	0.037	0.037	0.385	0.110	0.097	0.366	0.093	0.134	0.037	0.037	0.036	0.037	0.037	0.036	0.370	0.109	0.103	0.373	0.111	0.140	0.037	0.037	0.037	0.037	0.037	0.037	0.373	0.118	0.092	0.369	0.107	0.097	0.036	0.038	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
2:28:18	37.0	0.041	0.036	0.036	0.036	0.037	0.037	0.037	0.037	0.086	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.036	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.036	0.037	0.037	0.406	0.107	0.089	0.387	0.093	0.128	0.037	0.037	0.036	0.037	0.037	0.036	0.394	0.106	0.092	0.391	0.109	0.131	0.037	0.037	0.037	0.038	0.037	0.037	0.391	0.116	0.086	0.390	0.105	0.091	0.036	0.037	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.036	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
2:33:18	37.0	0.041	0.036	0.036	0.037	0.037	0.037	0.037	0.037	0.086	0.037	0.036	0.037	0.037	0.037	0.037	0.036	0.037	0.037	0.037	0.036	0.037	0.038	0.037	0.036	0.036	0.037	0.037	0.422	0.105	0.083	0.405	0.094	0.118	0.037	0.037	0.036	0.037	0.037	0.036	0.414	0.103	0.084	0.409	0.106	0.117	0.037	0.037	0.037	0.037	0.037	0.038	0.414	0.114	0.080	0.414	0.104	0.083	0.036	0.038	0.037	0.036	0.037	0.037	0.037	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.036	0.037	0.037	0.038	0.037	0.037	0.037	0.037	0.038	0.037	0.037	0.036	0.037	0.036	0.036	0.035	0.037	0.037	0.037	0.037	0.036	0.035	0.036	0.037
